,Predict,Low,Up
2045-01-01,467.7771443160587,450.75025273603694,484.80403589608045
2045-02-01,468.5164029191901,451.42596327579275,485.6068425625875
2045-03-01,469.41281849638176,452.2593465511803,486.56629044158325
2045-04-01,470.95382334705675,453.7376638926649,488.1699828014486
2045-05-01,471.55092582250467,454.272365282302,488.8294863627073
2045-06-01,470.7791038815597,453.438394985237,488.11981277788243
2045-07-01,469.1062506390713,451.7036291397136,486.50887213842896
2045-08-01,467.02714118340907,449.56283327896244,484.4914490878557
2045-09-01,465.59149655587515,448.06572263831777,483.11727047343254
2045-10-01,465.8590293368132,448.2720058201496,483.4460528534768
2045-11-01,467.3770521046816,449.7289923378381,485.02511187152504
2045-12-01,468.7949328329434,451.0792561519613,486.5106095139255
2046-01-01,469.98591219055277,452.2053209929277,487.76650338817785
2046-02-01,470.7248959050317,452.8799050898455,488.5698867202179
2046-03-01,471.6209781557405,453.71209542278837,489.5298608886926
2046-04-01,473.16140999347374,455.188974797605,491.1338451893425
2046-05-01,473.7582904401294,455.72258484012247,491.7939960401363
2046-06-01,472.98675549630883,454.88802844039685,491.0854825522208
2046-07-01,471.31452429375565,453.15300807742864,489.47604051008267
2046-08-01,469.2361879418412,451.0121055136017,487.4602703700807
2046-09-01,467.801077149714,449.5146458012243,486.0875084982037
2046-10-01,468.06851045027355,449.7199436146964,486.4170772858507
2046-11-01,469.5859687509429,451.1754769001183,487.9964606017675
2046-12-01,471.003322249192,452.5244224770809,489.48222202130313
2047-01-01,472.1938587486333,453.6492116347294,490.73850586253724
2047-02-01,472.9325676766754,454.3226801462151,491.5424552071357
2047-03-01,473.82831672484673,455.1536887858528,492.50294466384065
2047-04-01,475.36817576270954,456.62914177769005,494.10720974772903
2047-05-01,475.96483426313284,457.16167212541626,494.7679964008494
2047-06-01,475.1935862097186,456.3265412567163,494.0606311627209
2047-07-01,473.521976815799,454.59127803914413,492.4526755924539
2047-08-01,471.44441328015847,452.45028052098866,490.4385460393283
2047-09-01,470.0098361249347,450.95248370773487,489.0671885421345
2047-10-01,470.2771699821069,451.1568084848204,489.3975314793934
2047-11-01,471.7940640254708,452.61090116176814,490.97722688917344
